reward/reward_mean;reward/reward_max;reward/reward_min;reward/reward_std;loss/bellman_error;misc/q;misc/q_est;misc/epsilon;misc/timestep
92.66666666666667;186.0;44.0;47.42596569625359;0.23457037487626076;10.878315873146057;10.258700254440308;0.1739000000000544;14500
119.5;139.0;89.0;19.817921182606415;0.22874516341090204;10.836916005134583;10.225669880867004;0.17300000000005628;15000
77.0;114.0;47.0;23.143033509028154;0.22351150050759316;10.968554007530212;10.365791637420655;0.17210000000005815;15500
112.4;201.0;40.0;52.11755942098594;0.21961167830228806;11.45845869064331;10.862562536239624;0.17120000000006003;16000
102.0;166.0;14.0;54.62600113499065;0.2198302792906761;11.439017288208008;10.843111880302429;0.1703000000000619;16500
102.25;118.0;74.0;17.583728273605686;0.21541569913923742;11.742106168746949;11.15330787563324;0.16940000000006378;17000
179.33333333333334;278.0;84.0;79.23523346480543;0.21053241643309592;11.953136840820312;11.370786600112915;0.16850000000006565;17500
115.6;138.0;77.0;23.58474082961269;0.2078891287147999;12.147423627853394;11.569648252487182;0.16760000000006753;18000
109.0;169.0;46.0;44.02839992550263;0.20524736097455024;12.200586853027344;11.62826158428192;0.1667000000000694;18500
150.5;208.0;112.0;39.430318284284745;0.20454972511529923;12.693943465232849;12.122394694328309;0.16580000000007128;19000
98.75;168.0;16.0;55.12429137866536;0.1992207514643669;12.915939994812012;12.352387466430663;0.16490000000007315;19500
154.33333333333334;200.0;129.0;32.355662392986005;0.1980199273377657;13.111351099967957;12.550048358917236;0.16400000000007503;20000
143.0;193.0;86.0;41.75523919222593;0.19390000627934934;13.078969785690308;12.52669489479065;0.1631000000000769;20500
130.0;179.0;75.0;41.53913817112724;0.19261009639501572;13.396600860595703;12.843793329238892;0.16220000000007878;21000
211.0;287.0;135.0;76.0;0.19375914956629275;13.567024320602417;13.013060514450073;0.16130000000008066;21500
143.0;181.0;70.0;44.17578522222327;0.19039694334566593;13.792000756263732;13.244802746772766;0.16040000000008253;22000
155.33333333333334;177.0;122.0;23.921166824012207;0.1877941296696663;14.204449556350708;13.66113300704956;0.1595000000000844;22500
122.25;173.0;21.0;60.37952881565076;0.18477315966784955;14.105874318122863;13.568852914810181;0.15860000000008628;23000
138.0;185.0;74.0;47.733635939450494;0.18252445980906487;14.583969836235047;14.051552214622497;0.15770000000008816;23500
93.0;138.0;26.0;35.795716689756794;0.1802751507163048;14.875859315872193;14.346010756492614;0.15680000000009003;24000
211.5;240.0;183.0;28.5;0.1795137958228588;15.09101471710205;14.563129556655884;0.1559000000000919;24500
189.33333333333334;234.0;112.0;54.901932773102104;0.1758407895863056;15.347904088974;14.827294388771056;0.15500000000009378;25000
134.33333333333334;164.0;93.0;30.136725472788548;0.17265363895893096;15.727244362831115;15.213044301986695;0.15410000000009566;25500
258.5;433.0;84.0;174.5;0.1721683457493782;16.171977254867553;15.659242775917054;0.15320000000009754;26000
168.0;315.0;69.0;106.00943354249186;0.172137038692832;16.72566501045227;16.213376382827757;0.1523000000000994;26500
183.0;363.0;82.0;127.59571570654975;0.1752028406560421;17.045247650146486;16.52717490196228;0.1514000000001013;27000
158.33333333333334;176.0;126.0;22.89589968143253;0.17362739753723144;17.588213943481446;17.071408451080323;0.15050000000010316;27500
